DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),AQI,HCHO(mg/m3),TVOC(mg/m3),TEMP,HUMI(%RH),TEMPUNIT
2025-08-12 08:36:59,5.2,9.2,796,21,0.02,0.02,65.8,61.4,F
2025-08-12 08:37:59,3.4,6.2,532,14,0.02,0.01,65.9,59.0,F
2025-08-12 08:38:59,3.0,5.2,546,12,0.02,0.02,66.0,58.2,F
2025-08-12 08:39:59,2.3,3.7,362,9,0.02,0.02,66.0,57.6,F
2025-08-12 08:40:59,2.9,4.8,472,11,0.02,0.01,66.1,57.1,F
2025-08-12 08:41:59,1.8,3.1,356,7,0.01,0.01,66.2,56.4,F
2025-08-12 08:42:59,2.0,3.2,360,8,0.02,0.02,66.0,55.6,F
2025-08-12 08:43:59,2.0,3.7,380,8,0.01,0.01,65.9,55.8,F
2025-08-12 08:44:59,2.2,4.0,345,9,0.02,0.02,66.0,56.2,F
2025-08-12 08:45:59,3.2,5.7,564,13,0.01,0.02,66.0,55.3,F
2025-08-12 08:46:59,3.1,5.6,518,12,0.02,0.01,66.0,55.6,F
2025-08-12 08:47:59,3.1,5.2,540,12,0.02,0.01,66.0,55.8,F
2025-08-12 08:48:59,3.2,5.9,590,13,0.02,0.01,66.2,55.0,F
2025-08-12 08:49:59,1.7,3.1,309,7,0.02,0.01,66.1,54.0,F
2025-08-12 08:50:59,1.6,2.5,309,6,0.01,0.02,66.3,54.2,F
2025-08-12 08:51:59,1.5,2.7,274,6,0.02,0.01,66.1,52.2,F
2025-08-12 08:52:59,1.1,1.9,181,4,0.01,0.01,66.3,53.4,F
2025-08-12 08:53:59,1.2,1.9,191,5,0.02,0.01,66.2,52.5,F
2025-08-12 08:54:59,1.7,2.6,302,6,0.01,0.01,66.4,52.6,F
2025-08-12 08:55:59,1.3,2.3,191,5,0.02,0.02,66.3,52.8,F
2025-08-12 08:56:59,1.5,2.4,287,6,0.02,0.01,66.6,52.9,F
2025-08-12 08:57:59,1.7,3.4,325,7,0.02,0.01,66.5,51.9,F
2025-08-12 08:58:59,1.3,2.3,187,5,0.02,0.01,66.8,52.0,F
2025-08-12 08:59:59,2.3,4.2,345,9,0.02,0.02,66.5,51.0,F
2025-08-12 09:00:59,2.7,5.0,449,10,0.02,0.03,66.7,50.0,F
2025-08-12 09:01:59,2.0,2.3,385,8,0.02,0.02,66.4,50.1,F
2025-08-12 09:02:59,1.1,1.9,267,4,0.02,0.02,66.1,49.1,F
2025-08-12 09:03:59,1.7,3.3,304,7,0.02,0.01,65.8,50.3,F
2025-08-12 09:04:59,1.4,1.8,214,5,0.02,0.01,65.5,50.5,F
2025-08-12 09:05:59,1.6,3.0,265,6,0.02,0.01,65.3,50.4,F
2025-08-12 09:06:59,1.0,2.1,260,4,0.01,0.01,65.0,51.6,F
2025-08-12 09:07:59,1.4,2.4,242,5,0.02,0.01,64.8,51.8,F
2025-08-12 09:08:59,1.8,3.2,342,7,0.01,0.01,64.6,51.7,F
2025-08-12 09:09:59,1.7,3.2,277,6,0.02,0.03,64.5,51.9,F
