CO2,CO2H,CO2T,P1,P10,P25,P4,PAX,alt,co,dsl,hum,lat,lon,main,nh3,pdist,pre,spd,timestamp,tmp
0,0,0,0,9,9,0,8,0,0,GENERIC,58.8300018310547,5.389038,-73.693017,0,0,0,0,0,2025-08-11 13:55:38,18.8500003814697
0,0,0,0,9,9,0,8,0,0,GENERIC,58.9099998474121,5.3890382,-73.6930173,0,0,0,0,0,2025-08-11 13:55:44,18.8999996185303
0,0,0,0,10,9,0,8,0,0,GENERIC,59.0200004577637,5.3890383,-73.6930168,0,0,0,0,0,2025-08-11 13:55:49,18.9200000762939
0,0,0,0,10,10,0,8,0,0,GENERIC,59.0400009155273,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:55:54,18.9400005340576
0,0,0,0,13,11,0,8,0,0,GENERIC,58.9700012207031,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:55:59,18.9400005340576
0,0,0,0,14,11,0,8,0,0,GENERIC,58.9300003051758,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:56:04,18.9699993133545
0,0,0,0,13,11,0,8,0,0,GENERIC,59.0099983215332,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:56:09,18.9400005340576
0,0,0,0,13,10,0,8,0,0,GENERIC,58.9700012207031,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:56:14,18.9400005340576
0,0,0,0,9,8,0,8,0,0,GENERIC,58.6800003051758,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:56:18,18.9400005340576
0,0,0,0,10,9,0,8,0,0,GENERIC,58.6500015258789,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:56:23,18.8400001525879
0,0,0,0,10,9,0,7,0,0,GENERIC,59.4300003051758,5.389038,-73.693016,0,0,0,0,0,2025-08-11 13:56:28,18.7999992370605
0,0,0,0,9,9,0,7,0,0,GENERIC,59.1399993896484,5.3890391,-73.6930173,0,0,0,0,0,2025-08-11 13:56:33,18.75
0,0,0,0,9,9,0,7,0,0,GENERIC,58.939998626709,5.3890386,-73.6930174,0,0,0,0,0,2025-08-11 13:56:38,18.6700000762939
0,0,0,0,9,8,0,7,0,0,GENERIC,59.0699996948242,5.389039,-73.693017,0,0,0,0,0,2025-08-11 13:56:43,18.6299991607666
0,0,0,0,9,8,0,7,0,0,GENERIC,59.8199996948242,5.3890392,-73.6930179,0,0,0,0,0,2025-08-11 13:56:48,18.5699996948242
0,0,0,0,10,9,0,6,0,0,GENERIC,60.4099998474121,5.3890384,-73.6930167,0,0,0,0,0,2025-08-11 13:56:53,18.6299991607666
0,0,0,0,10,10,0,6,0,0,GENERIC,60.5499992370606,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:56:58,18.5400009155273
0,0,0,0,11,10,0,6,0,0,GENERIC,60.4900016784668,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:57:03,18.4899997711182
0,0,0,0,11,10,0,7,0,0,GENERIC,60.5099983215332,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:57:08,18.4400005340576
0,0,0,0,10,10,0,7,0,0,GENERIC,60.1100006103516,5.3890383,-73.6930167,0,0,0,0,0,2025-08-11 13:57:13,18.4200000762939
0,0,0,0,10,9,0,7,0,0,GENERIC,60.0200004577637,5.389024,-73.6930161,0,0,1,0,0,2025-08-11 13:57:18,18.4300003051758
0,0,0,0,10,10,0,7,0,0,GENERIC,59.9500007629395,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:23,18.3700008392334
0,0,0,0,11,9,0,8,0,0,GENERIC,59.7900009155273,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:28,18.3899993896484
0,0,0,0,12,10,0,8,0,0,GENERIC,60.2000007629395,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:33,18.4300003051758
0,0,0,0,12,10,0,8,0,0,GENERIC,61.0299987792969,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:38,18.3700008392334
0,0,0,0,12,10,0,8,0,0,GENERIC,60.8899993896484,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:43,18.3899993896484
0,0,0,0,11,10,0,8,0,0,GENERIC,60.4300003051758,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:48,18.3600006103516
0,0,0,0,11,11,0,8,0,0,GENERIC,60.4700012207031,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:53,18.4400005340576
0,0,0,0,11,11,0,8,0,0,GENERIC,60.2700004577637,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:57:58,18.5300006866455
0,0,0,0,11,11,0,8,0,0,GENERIC,60.0800018310547,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:03,18.5699996948242
0,0,0,0,13,12,0,8,0,0,GENERIC,60.1500015258789,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:08,18.5599994659424
0,0,0,0,16,14,0,7,0,0,GENERIC,59.9500007629395,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:13,18.5900001525879
0,0,0,0,18,16,0,7,0,0,GENERIC,60.060001373291,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:18,18.5300006866455
0,0,0,0,16,15,0,7,0,0,GENERIC,60,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:23,18.6700000762939
0,0,0,0,15,14,0,7,0,0,GENERIC,59.9000015258789,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:28,18.8099994659424
0,0,0,0,15,13,0,7,0,0,GENERIC,59.5699996948242,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:33,18.8299999237061
0,0,0,0,15,13,0,7,0,0,GENERIC,59.1500015258789,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:38,18.8500003814697
0,0,0,0,12,11,0,7,0,0,GENERIC,59.2099990844727,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:44,18.7999992370605
0,0,0,0,15,12,0,7,0,0,GENERIC,59.4300003051758,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:48,18.8700008392334
0,0,0,0,16,13,0,7,0,0,GENERIC,60.4900016784668,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:53,18.8299999237061
0,0,0,0,16,14,0,7,0,0,GENERIC,60.6699981689453,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:58:58,18.8299999237061
0,0,0,0,16,15,0,7,0,0,GENERIC,60.8300018310547,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:03,18.8700008392334
0,0,0,0,14,14,0,7,0,0,GENERIC,61.0900001525879,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:08,18.8799991607666
0,0,0,0,14,14,0,7,0,0,GENERIC,60.810001373291,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:13,18.8700008392334
0,0,0,0,15,15,0,7,0,0,GENERIC,60.8899993896484,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:18,18.9400005340576
0,0,0,0,15,15,0,6,0,0,GENERIC,61.4099998474121,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:23,19.0200004577637
0,0,0,0,15,15,0,6,0,0,GENERIC,61.8400001525879,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:28,19.0400009155273
0,0,0,0,15,15,0,6,0,0,GENERIC,62.25,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:33,19.1100006103516
0,0,0,0,12,12,0,6,0,0,GENERIC,62.4900016784668,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:39,19.2000007629395
0,0,0,0,12,12,0,6,0,0,GENERIC,62.7000007629395,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:43,19.3600006103516
0,0,0,0,11,10,0,6,0,0,GENERIC,62.0099983215332,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:48,19.4899997711182
0,0,0,0,11,10,0,6,0,0,GENERIC,61.4799995422363,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:53,19.5400009155273
0,0,0,0,11,10,0,6,0,0,GENERIC,61.5400009155273,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 13:59:58,19.6200008392334
0,0,0,0,10,10,0,6,0,0,GENERIC,60.9799995422363,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:03,19.6599998474121
0,0,0,0,11,10,0,7,0,0,GENERIC,61.0699996948242,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:08,19.6200008392334
0,0,0,0,11,10,0,7,0,0,GENERIC,61.0900001525879,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:13,19.6200008392334
0,0,0,0,11,10,0,7,0,0,GENERIC,61.2700004577637,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:18,19.6000003814697
0,0,0,0,11,11,0,7,0,0,GENERIC,61.6300010681152,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:23,19.5900001525879
0,0,0,0,11,11,0,7,0,0,GENERIC,62.1599998474121,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:28,19.6200008392334
0,0,0,0,11,10,0,7,0,0,GENERIC,61.8800010681152,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:33,19.5400009155273
0,0,0,0,14,13,0,7,0,0,GENERIC,61.1500015258789,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:38,19.5300006866455
0,0,0,0,15,13,0,7,0,0,GENERIC,61.7000007629395,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:43,19.5300006866455
0,0,0,0,15,13,0,7,0,0,GENERIC,61.7099990844727,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:48,19.5300006866455
0,0,0,0,15,13,0,7,0,0,GENERIC,61.6699981689453,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:53,19.4899997711182
0,0,0,0,15,13,0,8,0,0,GENERIC,61.2400016784668,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:00:58,19.4599990844727
0,0,0,0,16,14,0,8,0,0,GENERIC,60.7400016784668,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:03,19.4599990844727
0,0,0,0,16,15,0,8,0,0,GENERIC,61.0400009155273,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:08,19.4500007629395
0,0,0,0,15,14,0,8,0,0,GENERIC,60.8699989318848,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:13,19.4899997711182
0,0,0,0,15,14,0,7,0,0,GENERIC,60.8800010681152,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:18,19.4200000762939
0,0,0,0,13,13,0,7,0,0,GENERIC,60.6199989318848,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:23,19.4599990844727
0,0,0,0,14,14,0,7,0,0,GENERIC,60.5400009155273,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:28,19.4899997711182
0,0,0,0,14,14,0,7,0,0,GENERIC,60.560001373291,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:33,19.5400009155273
0,0,0,0,12,12,0,8,0,0,GENERIC,60.6599998474121,5.389025,-73.6930167,0,0,1,0,0,2025-08-11 14:01:38,19.6200008392334
0,0,0,0,13,13,0,8,0,0,GENERIC,60.8800010681152,5.389025,-73.6930119,0,0,1,0,0,2025-08-11 14:01:43,19.6399993896484
0,0,0,0,12,12,0,8,0,0,GENERIC,60.7299995422363,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:01:48,19.6399993896484
0,0,0,0,11,11,0,8,0,0,GENERIC,60.1599998474121,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:01:53,19.6599998474121
0,0,0,0,10,10,0,7,0,0,GENERIC,59.5999984741211,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:01:58,19.7399997711182
0,0,0,0,9,9,0,7,0,0,GENERIC,59.3699989318848,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:04,19.7399997711182
0,0,0,0,8,8,0,7,0,0,GENERIC,59.2000007629395,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:08,19.7000007629395
0,0,0,0,8,8,0,7,0,0,GENERIC,59.5,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:13,19.6900005340576
0,0,0,0,7,7,0,8,0,0,GENERIC,59.4799995422363,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:18,19.6599998474121
0,0,0,0,6,5,0,8,0,0,GENERIC,59.4900016784668,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:23,19.6700000762939
0,0,0,0,5,5,0,8,0,0,GENERIC,59.3499984741211,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:28,19.6599998474121
0,0,0,0,3,3,0,8,0,0,GENERIC,59.3300018310547,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:33,19.6399993896484
0,0,0,0,3,3,0,7,0,0,GENERIC,59.2099990844727,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:38,19.5900001525879
0,0,0,0,3,3,0,7,0,0,GENERIC,58.7400016784668,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:43,19.5400009155273
0,0,0,0,2,2,0,7,0,0,GENERIC,57.7200012207031,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:48,19.4699993133545
0,0,0,0,1,1,0,7,0,0,GENERIC,57.0900001525879,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:53,19.4200000762939
0,0,0,0,0,0,0,7,0,0,GENERIC,57.1500015258789,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:02:58,19.3999996185303
0,0,0,0,1,1,0,7,0,0,GENERIC,57.9799995422363,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:03,19.3999996185303
0,0,0,0,1,1,0,7,0,0,GENERIC,58.2700004577637,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:08,19.3899993896484
0,0,0,0,2,2,0,7,0,0,GENERIC,58.5900001525879,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:13,19.3700008392334
0,0,0,0,3,3,0,6,0,0,GENERIC,58.5499992370606,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:18,19.3199996948242
0,0,0,0,4,3,0,6,0,0,GENERIC,58.4700012207031,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:23,19.3199996948242
0,0,0,0,4,4,0,6,0,0,GENERIC,58.560001373291,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:28,19.2999992370605
0,0,0,0,4,4,0,6,0,0,GENERIC,58.8400001525879,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:33,19.2600002288818
0,0,0,0,4,3,0,6,0,0,GENERIC,59.1100006103516,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:38,19.2800006866455
0,0,0,0,4,3,0,6,0,0,GENERIC,59.310001373291,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:43,19.2999992370605
0,0,0,0,3,2,0,6,0,0,GENERIC,59.7799987792969,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:49,19.2600002288818
0,0,0,0,3,3,0,6,0,0,GENERIC,59.9799995422363,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:53,19.3299999237061
0,0,0,0,2,2,0,5,0,0,GENERIC,59.5999984741211,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:03:59,19.3199996948242
0,0,0,0,2,2,0,5,0,0,GENERIC,59.0699996948242,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:03,19.2999992370605
0,0,0,0,2,2,0,5,0,0,GENERIC,58.5099983215332,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:08,19.2800006866455
0,0,0,0,3,3,0,5,0,0,GENERIC,58.4599990844727,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:13,19.3199996948242
0,0,0,0,1,1,0,5,0,0,GENERIC,59.0200004577637,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:18,19.3199996948242
0,0,0,0,3,3,0,5,0,0,GENERIC,59.8699989318848,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:24,19.2900009155273
0,0,0,0,3,2,0,5,0,0,GENERIC,60.310001373291,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:28,19.2800006866455
0,0,0,0,3,3,0,5,0,0,GENERIC,60.4799995422363,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:34,19.2600002288818
0,0,0,0,3,3,0,4,0,0,GENERIC,60.4700012207031,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:38,19.2199993133545
0,0,0,0,3,3,0,4,0,0,GENERIC,60.4000015258789,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:43,19.2199993133545
0,0,0,0,5,5,0,5,0,0,GENERIC,60.3300018310547,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:48,19.2199993133545
0,0,0,0,3,3,0,5,0,0,GENERIC,60.4500007629395,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:53,19.2299995422363
0,0,0,0,4,4,0,5,0,0,GENERIC,60.3899993896484,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:04:59,19.2000007629395
0,0,0,0,3,3,0,5,0,0,GENERIC,59.8499984741211,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:03,19.2000007629395
0,0,0,0,3,3,0,5,0,0,GENERIC,59.3300018310547,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:09,19.1399993896484
0,0,0,0,1,1,0,5,0,0,GENERIC,58.9900016784668,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:13,19.1200008392334
0,0,0,0,2,2,0,4,0,0,GENERIC,59.0999984741211,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:19,19.0900001525879
0,0,0,0,3,3,0,4,0,0,GENERIC,59.7200012207031,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:24,19.0799999237061
0,0,0,0,4,4,0,5,0,0,GENERIC,58.8600006103516,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:28,18.9899997711182
0,0,0,0,3,3,0,5,0,0,GENERIC,57.9500007629395,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:34,18.9400005340576
0,0,0,0,2,2,0,5,0,0,GENERIC,57.9900016784668,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:38,18.9500007629395
0,0,0,0,1,1,0,5,0,0,GENERIC,58.0699996948242,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:44,18.9200000762939
0,0,0,0,1,1,0,5,0,0,GENERIC,58.2099990844727,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:49,18.8999996185303
0,0,0,0,1,1,0,5,0,0,GENERIC,58.3899993896484,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:54,18.9500007629395
0,0,0,0,1,1,0,5,0,0,GENERIC,58.5,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:05:58,18.9699993133545
0,0,0,0,1,1,0,4,0,0,GENERIC,59.1500015258789,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:04,18.9699993133545
0,0,0,0,1,1,0,5,0,0,GENERIC,59.1599998474121,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:09,18.9200000762939
0,0,0,0,1,1,0,5,0,0,GENERIC,59.1399993896484,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:13,18.9400005340576
0,0,0,0,2,2,0,5,0,0,GENERIC,59.060001373291,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:19,18.9500007629395
0,0,0,0,3,3,0,5,0,0,GENERIC,59.0299987792969,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:24,18.9400005340576
0,0,0,0,2,2,0,5,0,0,GENERIC,58.6199989318848,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:29,18.9699993133545
0,0,0,0,3,3,0,5,0,0,GENERIC,58.560001373291,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:34,18.9099998474121
0,0,0,0,3,3,0,5,0,0,GENERIC,58.2000007629395,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:39,18.8700008392334
0,0,0,0,3,3,0,4,0,0,GENERIC,58.6599998474121,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:44,18.8799991607666
0,0,0,0,3,3,0,4,0,0,GENERIC,58.75,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:48,18.8999996185303
0,0,0,0,2,2,0,6,0,0,GENERIC,58.75,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:53,18.8999996185303
0,0,0,0,2,2,0,6,0,0,GENERIC,58.6300010681152,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:06:59,18.8799991607666
0,0,0,0,2,2,0,6,0,0,GENERIC,58.7099990844727,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:07:04,18.8999996185303
0,0,0,0,2,2,0,6,0,0,GENERIC,59.439998626709,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:07:09,18.8500003814697
0,0,0,0,3,2,0,5,0,0,GENERIC,59.439998626709,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:07:13,18.8400001525879
0,0,0,0,3,3,0,5,0,0,GENERIC,59.439998626709,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:07:19,18.8500003814697
0,0,0,0,4,3,0,5,0,0,GENERIC,59.0999984741211,5.3890267,-73.693015,0,0,1,0,0,2025-08-11 14:07:24,18.8099994659424
0,0,0,0,4,3,0,5,0,0,GENERIC,59.0999984741211,5.3890273,-73.6930156,0,0,1,0,0,2025-08-11 14:07:29,18.8099994659424
0,0,0,0,4,4,0,5,0,0,GENERIC,59.2200012207031,5.3890362,-73.6930119,0,0,2,0,0,2025-08-11 14:07:34,18.8299999237061
0,0,0,0,4,4,0,5,0,0,GENERIC,59.9300003051758,5.3890407,-73.6930078,0,0,2,0,0,2025-08-11 14:07:39,18.8099994659424
0,0,0,0,4,4,0,5,0,0,GENERIC,60.3800010681152,5.3890408,-73.6930082,0,0,2,0,0,2025-08-11 14:07:44,18.7800006866455
0,0,0,0,4,4,0,5,0,0,GENERIC,60.5099983215332,5.3890417,-73.6930083,0,0,2,0,0,2025-08-11 14:07:49,18.7700004577637
0,0,0,0,5,5,0,5,0,0,GENERIC,60.5099983215332,5.3890417,-73.6930083,0,0,2,0,0,2025-08-11 14:07:54,18.7700004577637
0,0,0,0,4,4,0,4,0,0,GENERIC,60.4599990844727,5.3890417,-73.6930083,0,0,2,0,0,2025-08-11 14:07:58,18.75
0,0,0,0,4,4,0,4,0,0,GENERIC,60.4500007629395,5.3890417,-73.6930083,0,0,2,0,0,2025-08-11 14:08:03,18.75
0,0,0,0,4,4,0,4,0,0,GENERIC,59.810001373291,5.3890417,-73.6930083,0,0,2,0,0,2025-08-11 14:08:09,18.7800006866455
0,0,0,0,4,4,0,4,0,0,GENERIC,59.9099998474121,5.3890412,-73.6930079,0,0,2,0,0,2025-08-11 14:08:14,18.7999992370605
0,0,0,0,4,3,0,4,0,0,GENERIC,59.6699981689453,5.3890411,-73.693008,0,0,2,0,0,2025-08-11 14:08:19,18.8400001525879
0,0,0,0,4,3,0,5,0,0,GENERIC,58.8699989318848,5.3890414,-73.6930082,0,0,2,0,0,2025-08-11 14:08:24,18.8099994659424
0,0,0,0,3,3,0,5,0,0,GENERIC,58.7700004577637,5.3890415,-73.6930094,0,0,2,0,0,2025-08-11 14:08:29,18.8400001525879
0,0,0,0,3,2,0,6,0,0,GENERIC,59.0299987792969,5.3890413,-73.6930083,0,0,2,0,0,2025-08-11 14:08:34,18.8500003814697
0,0,0,0,5,4,0,7,0,0,GENERIC,58.7000007629395,5.3890418,-73.693008,0,0,2,0,0,2025-08-11 14:08:38,18.8400001525879
0,0,0,0,4,3,0,7,0,0,GENERIC,58.6800003051758,5.3890419,-73.6930085,0,0,2,0,0,2025-08-11 14:08:44,18.8999996185303
0,0,0,0,2,1,0,7,0,0,GENERIC,58.7299995422363,5.3890417,-73.6930096,0,0,2,0,0,2025-08-11 14:08:48,18.8999996185303
0,0,0,0,2,2,0,7,0,0,GENERIC,58.9700012207031,5.3890421,-73.6930091,0,0,2,0,0,2025-08-11 14:08:54,18.9099998474121
0,0,0,0,3,3,0,7,0,0,GENERIC,59.6699981689453,5.3890414,-73.6930081,0,0,2,0,0,2025-08-11 14:08:59,18.9400005340576
0,0,0,0,3,3,0,7,0,0,GENERIC,60.0999984741211,5.3890415,-73.6930092,0,0,2,0,0,2025-08-11 14:09:04,18.9400005340576
0,0,0,0,3,3,0,8,0,0,GENERIC,60.25,5.3890418,-73.6930087,0,0,2,0,0,2025-08-11 14:09:08,18.9400005340576
0,0,0,0,4,4,0,8,0,0,GENERIC,60.2700004577637,5.3890418,-73.6930092,0,0,2,0,0,2025-08-11 14:09:14,18.9200000762939
