CO2,CO2H,CO2T,P1,P10,P25,P4,PAX,alt,co,dsl,hum,lat,lon,main,nh3,pdist,pre,spd,timestamp,tmp
0,0,0,0,1,1,0,13,0,0,GENERIC,59.7400016784668,5.3888923,-73.6942847,0,0,0,0,0,2025-08-11 20:22:26,19.06999969482422
0,0,0,0,3,3,0,13,0,0,GENERIC,59.5099983215332,5.3888918,-73.6942853,0,0,0,0,0,2025-08-11 20:22:30,19.049999237060547
0,0,0,0,3,3,0,13,0,0,GENERIC,59.560001373291016,5.3888921,-73.6942832,0,0,0,0,0,2025-08-11 20:22:35,19.010000228881836
0,0,0,0,3,3,0,12,0,0,GENERIC,59.459999084472656,5.3888907,-73.6942834,0,0,0,0,0,2025-08-11 20:22:40,18.969999313354492
0,0,0,0,4,4,0,13,0,0,GENERIC,59.52000045776367,5.3888911,-73.6942825,0,0,0,0,0,2025-08-11 20:22:45,18.950000762939453
0,0,0,0,4,4,0,13,0,0,GENERIC,59.59000015258789,5.3888904,-73.6942832,0,0,0,0,0,2025-08-11 20:22:50,18.899999618530273
0,0,0,0,3,3,0,13,0,0,GENERIC,59.709999084472656,5.3888911,-73.694283,0,0,0,0,0,2025-08-11 20:22:55,18.899999618530273
0,0,0,0,3,2,0,15,0,0,GENERIC,59.84000015258789,5.3888911,-73.6942825,0,0,0,0,0,2025-08-11 20:23:00,18.8799991607666
0,0,0,0,2,1,0,15,0,0,GENERIC,59.84000015258789,5.3888907,-73.6942832,0,0,0,0,0,2025-08-11 20:23:05,18.829999923706055
0,0,0,0,1,0,0,14,0,0,GENERIC,59.88999938964844,5.3888905,-73.6942827,0,0,0,0,0,2025-08-11 20:23:10,18.829999923706055
0,0,0,0,2,1,0,14,0,0,GENERIC,59.790000915527344,5.3888903,-73.6942823,0,0,0,0,0,2025-08-11 20:23:15,18.809999465942383
0,0,0,0,2,1,0,13,0,0,GENERIC,59.86000061035156,5.3888905,-73.694282,0,0,0,0,0,2025-08-11 20:23:20,18.799999237060547
0,0,0,0,2,1,0,14,0,0,GENERIC,59.689998626708984,5.3888917,-73.6942838,0,0,0,0,0,2025-08-11 20:23:25,18.780000686645508
0,0,0,0,1,1,0,14,0,0,GENERIC,59.7400016784668,5.3888901,-73.6942833,0,0,0,0,0,2025-08-11 20:23:30,18.75
0,0,0,0,1,1,0,12,0,0,GENERIC,60.029998779296875,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:23:35,18.729999542236328
0,0,0,0,1,1,0,13,0,0,GENERIC,60.279998779296875,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:23:40,18.729999542236328
0,0,0,0,1,1,0,12,0,0,GENERIC,60.65999984741211,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:23:45,18.729999542236328
0,0,0,0,1,1,0,13,0,0,GENERIC,61.029998779296875,5.3888917,-73.6942823,0,0,0,0,0,2025-08-11 20:23:50,18.729999542236328
0,0,0,0,2,2,0,14,0,0,GENERIC,61.02000045776367,5.3888894,-73.6942826,0,0,0,0,0,2025-08-11 20:23:55,18.709999084472656
0,0,0,0,3,3,0,12,0,0,GENERIC,61.209999084472656,5.3888905,-73.6942826,0,0,0,0,0,2025-08-11 20:24:00,18.739999771118164
0,0,0,0,3,3,0,13,0,0,GENERIC,61.279998779296875,5.3888903,-73.6942832,0,0,0,0,0,2025-08-11 20:24:05,18.770000457763672
0,0,0,0,3,3,0,13,0,0,GENERIC,61.540000915527344,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:10,18.739999771118164
0,0,0,0,2,2,0,13,0,0,GENERIC,61.5,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:15,18.739999771118164
0,0,0,0,2,2,0,14,0,0,GENERIC,61.56999969482422,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:20,18.75
0,0,0,0,2,2,0,13,0,0,GENERIC,61.779998779296875,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:25,18.739999771118164
0,0,0,0,3,3,0,14,0,0,GENERIC,61.68000030517578,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:30,18.75
0,0,0,0,3,3,0,14,0,0,GENERIC,61.59000015258789,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:35,18.75
0,0,0,0,3,3,0,14,0,0,GENERIC,61.290000915527344,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:40,18.770000457763672
0,0,0,0,1,1,0,15,0,0,GENERIC,61.11000061035156,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:45,18.770000457763672
0,0,0,0,1,1,0,14,0,0,GENERIC,60.7400016784668,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:50,18.770000457763672
0,0,0,0,3,3,0,14,0,0,GENERIC,60.72999954223633,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:24:55,18.770000457763672
0,0,0,0,2,2,0,15,0,0,GENERIC,60.790000915527344,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:00,18.780000686645508
0,0,0,0,3,3,0,14,0,0,GENERIC,61.13999938964844,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:05,18.799999237060547
0,0,0,0,3,3,0,15,0,0,GENERIC,61.470001220703125,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:10,18.780000686645508
0,0,0,0,2,2,0,14,0,0,GENERIC,61.5,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:15,18.799999237060547
0,0,0,0,1,1,0,14,0,0,GENERIC,61.560001373291016,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:20,18.780000686645508
0,0,0,0,1,1,0,15,0,0,GENERIC,61.43000030517578,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:25,18.780000686645508
0,0,0,0,2,2,0,14,0,0,GENERIC,61.310001373291016,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:30,18.780000686645508
0,0,0,0,2,2,0,15,0,0,GENERIC,61.08000183105469,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:35,18.780000686645508
0,0,0,0,2,2,0,14,0,0,GENERIC,60.9900016784668,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:40,18.770000457763672
0,0,0,0,1,1,0,14,0,0,GENERIC,60.720001220703125,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:45,18.75
0,0,0,0,1,1,0,15,0,0,GENERIC,60.56999969482422,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:50,18.780000686645508
0,0,0,0,1,1,0,14,0,0,GENERIC,60.59000015258789,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:25:55,18.770000457763672
0,0,0,0,1,1,0,14,0,0,GENERIC,60.52000045776367,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:00,18.739999771118164
0,0,0,0,1,1,0,15,0,0,GENERIC,60.40999984741211,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:05,18.75
0,0,0,0,1,1,0,14,0,0,GENERIC,60.47999954223633,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:10,18.780000686645508
0,0,0,0,0,0,0,15,0,0,GENERIC,60.66999816894531,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:15,18.770000457763672
0,0,0,0,1,1,0,14,0,0,GENERIC,60.83000183105469,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:20,18.799999237060547
0,0,0,0,1,1,0,14,0,0,GENERIC,61.31999969482422,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:25,18.799999237060547
0,0,0,0,1,1,0,15,0,0,GENERIC,61.650001525878906,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:30,18.829999923706055
0,0,0,0,0,0,0,14,0,0,GENERIC,61.83000183105469,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:35,18.84000015258789
0,0,0,0,0,0,0,15,0,0,GENERIC,61.72999954223633,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:40,18.829999923706055
0,0,0,0,0,0,0,14,0,0,GENERIC,61.95000076293945,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:45,18.850000381469727
0,0,0,0,1,1,0,14,0,0,GENERIC,62.11000061035156,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:50,18.8799991607666
0,0,0,0,1,1,0,15,0,0,GENERIC,62.08000183105469,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:26:55,18.899999618530273
0,0,0,0,2,2,0,14,0,0,GENERIC,62.20000076293945,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:00,18.920000076293945
0,0,0,0,0,0,0,14,0,0,GENERIC,62.52000045776367,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:05,18.940000534057617
0,0,0,0,3,2,0,15,0,0,GENERIC,62.77000045776367,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:10,18.950000762939453
0,0,0,0,2,0,0,14,0,0,GENERIC,62.9900016784668,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:15,18.979999542236328
0,0,0,0,3,1,0,15,0,0,GENERIC,63.16999816894531,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:20,19.010000228881836
0,0,0,0,3,2,0,14,0,0,GENERIC,62.90999984741211,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:25,19.020000457763672
0,0,0,0,2,2,0,15,0,0,GENERIC,62.599998474121094,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:30,19.049999237060547
0,0,0,0,1,0,0,16,0,0,GENERIC,62.650001525878906,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:35,19.06999969482422
0,0,0,0,2,1,0,15,0,0,GENERIC,62.33000183105469,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:40,19.06999969482422
0,0,0,0,1,1,0,16,0,0,GENERIC,61.959999084472656,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:45,19.079999923706055
0,0,0,0,1,1,0,15,0,0,GENERIC,61.689998626708984,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:50,19.09000015258789
0,0,0,0,0,0,0,15,0,0,GENERIC,61.790000915527344,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:27:55,19.110000610351562
0,0,0,0,1,1,0,17,0,0,GENERIC,62.150001525878906,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:00,19.110000610351562
0,0,0,0,2,2,0,16,0,0,GENERIC,62.18000030517578,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:05,19.149999618530273
0,0,0,0,2,1,0,16,0,0,GENERIC,62.02000045776367,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:10,19.15999984741211
0,0,0,0,4,1,0,17,0,0,GENERIC,61.709999084472656,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:15,19.15999984741211
0,0,0,0,6,1,0,17,0,0,GENERIC,61.88999938964844,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:20,19.15999984741211
0,0,0,0,8,2,0,18,0,0,GENERIC,62.11000061035156,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:25,19.15999984741211
0,0,0,0,8,2,0,18,0,0,GENERIC,61.90999984741211,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:30,19.190000534057617
0,0,0,0,6,3,0,14,0,0,GENERIC,61.75,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:35,19.219999313354492
0,0,0,0,3,1,0,16,0,0,GENERIC,61.77000045776367,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:40,19.219999313354492
0,0,0,0,2,2,0,15,0,0,GENERIC,62.0099983215332,5.38889,-73.6942833,0,0,0,0,0,2025-08-11 20:28:45,19.229999542236328
