CO2,CO2H,CO2T,P1,P10,P25,P4,PAX,alt,co,dsl,hum,lat,lon,main,nh3,pdist,pre,spd,timestamp,tmp
0,0,0,0,2,2,0,27,0,0,GENERIC,48.63999938964844,5.3886904,-73.6941065,0,0,0,0,0,2025-08-11 18:13:35,22.700000762939453
0,0,0,0,3,3,0,28,0,0,GENERIC,48.970001220703125,5.3886886,-73.6941122,0,0,0,0,0,2025-08-11 18:13:36,22.729999542236328
0,0,0,0,3,3,0,27,0,0,GENERIC,49.09000015258789,5.3886867,-73.694115,0,0,0,0,0,2025-08-11 18:13:41,22.790000915527344
0,0,0,0,3,2,0,28,0,0,GENERIC,49.099998474121094,5.3886867,-73.694115,0,0,0,0,0,2025-08-11 18:13:46,22.829999923706055
0,0,0,0,3,3,0,28,0,0,GENERIC,49.16999816894531,5.3886895,-73.6940995,0,0,1,0,0,2025-08-11 18:13:51,22.860000610351562
0,0,0,0,3,3,0,28,0,0,GENERIC,49.349998474121094,5.3886973,-73.6940865,0,0,2,0,1,2025-08-11 18:13:56,22.829999923706055
0,0,0,0,2,2,0,27,0,0,GENERIC,48.779998779296875,5.3886884,-73.6940869,0,0,2,0,0,2025-08-11 18:14:01,22.729999542236328
0,0,0,0,3,3,0,27,0,0,GENERIC,48.77000045776367,5.3886867,-73.6940867,0,0,2,0,0,2025-08-11 18:14:06,22.770000457763672
0,0,0,0,4,3,0,27,0,0,GENERIC,48.959999084472656,5.3886867,-73.6940867,0,0,2,0,0,2025-08-11 18:14:11,22.799999237060547
0,0,0,0,4,3,0,27,0,0,GENERIC,49.2400016784668,5.3886867,-73.6940867,0,0,2,0,0,2025-08-11 18:14:16,22.829999923706055
0,0,0,0,4,3,0,27,0,0,GENERIC,49.36000061035156,5.3886867,-73.6940867,0,0,2,0,0,2025-08-11 18:14:21,22.860000610351562
0,0,0,0,4,3,0,25,0,0,GENERIC,49.20000076293945,5.3886867,-73.6940867,0,0,2,0,0,2025-08-11 18:14:26,22.920000076293945
0,0,0,0,3,2,0,25,0,0,GENERIC,49.34000015258789,5.3886867,-73.6940867,0,0,2,0,0,2025-08-11 18:14:31,22.940000534057617
0,0,0,0,1,1,0,24,0,0,GENERIC,49.47999954223633,5.3886867,-73.6940867,0,0,2,0,0,2025-08-11 18:14:36,22.959999084472656
0,0,0,0,2,2,0,22,0,0,GENERIC,49.540000915527344,5.3886628,-73.6941048,0,0,5,0,0,2025-08-11 18:14:41,22.93000030517578
0,0,0,0,1,1,0,23,0,0,GENERIC,49.040000915527344,5.388663,-73.6941117,0,0,5,0,0,2025-08-11 18:14:46,22.93000030517578
0,0,0,0,2,1,0,20,0,0,GENERIC,48.58000183105469,5.3886633,-73.6941117,0,0,5,0,0,2025-08-11 18:14:51,22.93000030517578
0,0,0,0,1,0,0,20,0,0,GENERIC,48.43000030517578,5.3886633,-73.6941117,0,0,5,0,0,2025-08-11 18:14:56,22.959999084472656
0,0,0,0,1,1,0,19,0,0,GENERIC,48.119998931884766,5.3886633,-73.6941117,0,0,5,0,0,2025-08-11 18:15:01,22.989999771118164
0,0,0,0,1,1,0,18,0,0,GENERIC,47.45000076293945,5.3886633,-73.6941117,0,0,5,0,0,2025-08-11 18:15:06,22.989999771118164
0,0,0,0,1,1,0,18,0,0,GENERIC,47.099998474121094,5.3886633,-73.6941117,0,0,5,0,0,2025-08-11 18:15:11,23.020000457763672
0,0,0,0,2,2,0,16,0,0,GENERIC,47.09000015258789,5.3886633,-73.6941117,0,0,5,0,0,2025-08-11 18:15:16,23.040000915527344
