CO2,CO2H,CO2T,P1,P10,P25,P4,PAX,alt,co,dsl,hum,lat,lon,main,nh3,pdist,pre,spd,timestamp,tmp
0,0,0,0,0,0,0,14,0,0,GENERIC,52.56999969482422,5.3885142,-73.6939254,0,0,0,0,0,2025-08-11 16:59:27,21.93000030517578
0,0,0,0,0,0,0,14,0,0,GENERIC,52.81999969482422,5.3885143,-73.6939258,0,0,0,0,0,2025-08-11 16:59:32,22.040000915527344
0,0,0,0,1,1,0,14,0,0,GENERIC,53.029998779296875,5.3885143,-73.6939258,0,0,0,0,0,2025-08-11 16:59:37,22.1299991607666
0,0,0,0,0,0,0,14,0,0,GENERIC,52.97999954223633,5.3885095,-73.6939211,0,0,0,0,0,2025-08-11 16:59:42,22.149999618530273
0,0,0,0,0,0,0,14,0,0,GENERIC,52.02000045776367,5.3885082,-73.6939205,0,0,0,0,0,2025-08-11 16:59:47,22.209999084472656
0,0,0,0,0,0,0,14,0,0,GENERIC,50.439998626708984,5.3885091,-73.6939206,0,0,0,0,0,2025-08-11 16:59:52,22.219999313354492
0,0,0,0,0,0,0,14,0,0,GENERIC,49.7599983215332,5.388509,-73.6939209,0,0,0,0,0,2025-08-11 16:59:57,22.280000686645508
0,0,0,0,1,0,0,14,0,0,GENERIC,49.34000015258789,5.3885095,-73.6939213,0,0,0,0,0,2025-08-11 17:00:02,22.31999969482422
0,0,0,0,0,0,0,14,0,0,GENERIC,49.15999984741211,5.3885096,-73.6939206,0,0,0,0,0,2025-08-11 17:00:07,22.389999389648438
0,0,0,0,1,1,0,14,0,0,GENERIC,49.40999984741211,5.3885095,-73.6939208,0,0,0,0,0,2025-08-11 17:00:12,22.420000076293945
0,0,0,0,1,1,0,14,0,0,GENERIC,49.779998779296875,5.3885095,-73.6939207,0,0,0,0,0,2025-08-11 17:00:17,22.469999313354492
0,0,0,0,1,1,0,14,0,0,GENERIC,49.599998474121094,5.3885097,-73.6939206,0,0,0,0,0,2025-08-11 17:00:22,22.469999313354492
0,0,0,0,0,0,0,14,0,0,GENERIC,49.43000030517578,5.3885122,-73.6939179,0,0,0,0,0,2025-08-11 17:00:27,22.520000457763672
0,0,0,0,0,0,0,14,0,0,GENERIC,49.7599983215332,5.3885105,-73.6939159,0,0,0,0,0,2025-08-11 17:00:32,22.530000686645508
0,0,0,0,1,1,0,14,0,0,GENERIC,50.52000045776367,5.3885109,-73.6939162,0,0,0,0,0,2025-08-11 17:00:37,22.530000686645508
0,0,0,0,0,0,0,14,0,0,GENERIC,50.939998626708984,5.3885111,-73.6939165,0,0,0,0,0,2025-08-11 17:00:42,22.549999237060547
0,0,0,0,1,1,0,14,0,0,GENERIC,50.4900016784668,5.3885112,-73.6939166,0,0,0,0,0,2025-08-11 17:00:47,22.59000015258789
0,0,0,0,0,0,0,14,0,0,GENERIC,50.38999938964844,5.3885112,-73.6939167,0,0,0,0,0,2025-08-11 17:00:52,22.600000381469727
0,0,0,0,1,1,0,14,0,0,GENERIC,50.4900016784668,5.3885112,-73.6939169,0,0,0,0,0,2025-08-11 17:00:57,22.6299991607666
0,0,0,0,2,2,0,14,0,0,GENERIC,50.380001068115234,5.3885113,-73.693917,0,0,0,0,0,2025-08-11 17:01:02,22.59000015258789
0,0,0,0,1,1,0,14,0,0,GENERIC,49.869998931884766,5.3885113,-73.6939171,0,0,0,0,0,2025-08-11 17:01:07,22.649999618530273
0,0,0,0,0,0,0,14,0,0,GENERIC,50.099998474121094,5.3885113,-73.6939171,0,0,0,0,0,2025-08-11 17:01:12,22.68000030517578
0,0,0,0,0,0,0,14,0,0,GENERIC,50.459999084472656,5.3885114,-73.6939171,0,0,0,0,0,2025-08-11 17:01:17,22.6200008392334
0,0,0,0,1,1,0,14,0,0,GENERIC,50.13999938964844,5.3885114,-73.6939171,0,0,0,0,0,2025-08-11 17:01:22,22.6200008392334
0,0,0,0,0,0,0,14,0,0,GENERIC,49.939998626708984,5.3885115,-73.6939172,0,0,0,0,0,2025-08-11 17:01:27,22.6200008392334
0,0,0,0,1,1,0,14,0,0,GENERIC,49.790000915527344,5.3885115,-73.6939172,0,0,0,0,0,2025-08-11 17:01:32,22.6200008392334
0,0,0,0,2,2,0,14,0,0,GENERIC,48.560001373291016,5.3885116,-73.6939173,0,0,0,0,0,2025-08-11 17:01:37,22.6299991607666
0,0,0,0,0,0,0,14,0,0,GENERIC,48.43000030517578,5.3885116,-73.6939173,0,0,0,0,0,2025-08-11 17:01:42,22.68000030517578
0,0,0,0,1,1,0,14,0,0,GENERIC,48.380001068115234,5.3885115,-73.6939173,0,0,0,0,0,2025-08-11 17:01:47,22.700000762939453
0,0,0,0,0,0,0,14,0,0,GENERIC,48.56999969482422,5.3885115,-73.6939173,0,0,0,0,0,2025-08-11 17:01:52,22.770000457763672
0,0,0,0,0,0,0,14,0,0,GENERIC,48.84000015258789,5.3885115,-73.6939174,0,0,0,0,0,2025-08-11 17:01:57,22.829999923706055
0,0,0,0,0,0,0,14,0,0,GENERIC,49.18000030517578,5.3885116,-73.6939174,0,0,0,0,0,2025-08-11 17:02:02,22.889999389648438
0,0,0,0,0,0,0,14,0,0,GENERIC,49.119998931884766,5.3885116,-73.6939174,0,0,0,0,0,2025-08-11 17:02:07,22.829999923706055
0,0,0,0,0,0,0,8,0,0,GENERIC,48.290000915527344,5.3885115,-73.6939174,0,0,0,0,0,2025-08-11 17:02:12,22.489999771118164
0,0,0,0,0,0,0,8,0,0,GENERIC,48.150001525878906,5.3885115,-73.6939174,0,0,0,0,0,2025-08-11 17:02:17,22.389999389648438
0,0,0,0,0,0,0,9,0,0,GENERIC,47.90999984741211,5.3885115,-73.6939174,0,0,0,0,0,2025-08-11 17:02:22,21.969999313354492
0,0,0,0,0,0,0,9,0,0,GENERIC,47.5,5.3885115,-73.6939174,0,0,0,0,0,2025-08-11 17:02:27,21.559999465942383
0,0,0,0,0,0,0,9,0,0,GENERIC,47.56999969482422,5.3885116,-73.6939175,0,0,0,0,0,2025-08-11 17:02:32,21.280000686645508
0,0,0,0,0,0,0,9,0,0,GENERIC,48.220001220703125,5.3885116,-73.6939175,0,0,0,0,0,2025-08-11 17:02:37,21.040000915527344
0,0,0,0,0,0,0,9,0,0,GENERIC,48.81999969482422,5.3885117,-73.6939176,0,0,0,0,0,2025-08-11 17:02:42,20.979999542236328
0,0,0,0,0,0,0,9,0,0,GENERIC,48.52000045776367,5.3885117,-73.6939177,0,0,0,0,0,2025-08-11 17:02:47,20.969999313354492
0,0,0,0,0,0,0,9,0,0,GENERIC,49.20000076293945,5.3885117,-73.6939178,0,0,0,0,0,2025-08-11 17:02:52,20.850000381469727
0,0,0,0,1,1,0,9,0,0,GENERIC,50.09000015258789,5.3885117,-73.6939178,0,0,0,0,0,2025-08-11 17:02:57,20.450000762939453
0,0,0,0,2,2,0,9,0,0,GENERIC,50.58000183105469,5.3885117,-73.6939178,0,0,0,0,0,2025-08-11 17:03:02,20.459999084472656
0,0,0,0,1,1,0,9,0,0,GENERIC,51.15999984741211,5.3885096,-73.6939181,0,0,0,0,0,2025-08-11 17:03:07,20.079999923706055
0,0,0,0,1,1,0,9,0,0,GENERIC,51.83000183105469,5.3885056,-73.6939128,0,0,0,0,0,2025-08-11 17:03:12,19.979999542236328
0,0,0,0,1,1,0,9,0,0,GENERIC,52.02000045776367,5.3885036,-73.6939149,0,0,0,0,0,2025-08-11 17:03:17,20.010000228881836
0,0,0,0,0,0,0,9,0,0,GENERIC,52.7400016784668,5.3885033,-73.6939157,0,0,0,0,0,2025-08-11 17:03:22,20.040000915527344
0,0,0,0,0,0,0,9,0,0,GENERIC,53.0,5.3885032,-73.6939158,0,0,0,0,0,2025-08-11 17:03:27,19.940000534057617
